2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           0
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// ----------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// ----------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   00,016      0             0            39        *         *         *         *         0          //Sword of Destruction [Level: +6~8]
   00,018      0             0            39        *         *         *         *         0          //Thunder Blade [Level: +6~8]
   04,017      0             0            39        *         *         *         *         0          //Celestial Bow [Level: +6~8]
   00,016      0             0            *         12        12        12        12        0          //Sword of Destruction [Skill Luck Option: +4 Exc: 1]
   00,017      0             0            *         12        12        12        12        0          //Dark Breaker [Skill Luck Option: +4 Exc: 1]
   00,018      0             0            *         12        12        12        12        0          //Thunder Blade [Skill Luck Option: +4 Exc: 1]
   04,017      0             0            *         12        12        12        12        0          //Celestial Bow [Skill Luck Option: +4 Exc: 1]
   05,009      0             0            *         12        12        12        12        0          //Dragon Soul Staff [Skill Luck Option: +4 Exc: 1]
   07,017      0             0            *         12        12        12        12        0          //Dark Phoenix Helm [Skill Luck Option: +4 Exc: 1]
   08,017      0             0            *         12        12        12        12        0          //Dark Phoenix Armor [Skill Luck Option: +4 Exc: 1]
   09,017      0             0            *         12        12        12        12        0          //Dark Phoenix Pants [Skill Luck Option: +4 Exc: 1]
   10,017      0             0            *         12        12        12        12        0          //Dark Phoenix Gloves [Skill Luck Option: +4 Exc: 1]
   11,017      0             0            *         12        12        12        12        0          //Dark Phoenix Boots [Skill Luck Option: +4 Exc: 1]
   07,018      0             0            *         12        12        12        12        0          //Grand Soul Helm [Skill Luck Option: +4 Exc: 1]
   08,018      0             0            *         12        12        12        12        0          //Grand Soul Armor [Skill Luck Option: +4 Exc: 1]
   09,018      0             0            *         12        12        12        12        0          //Grand Soul Pants [Skill Luck Option: +4 Exc: 1]
   10,018      0             0            *         12        12        12        12        0          //Grand Soul Gloves [Skill Luck Option: +4 Exc: 1]
   11,018      0             0            *         12        12        12        12        0          //Grand Soul Boots [Skill Luck Option: +4 Exc: 1]
   07,019      0             0            *         12        12        12        12        0          //Divine Helm [Skill Luck Option: +4 Exc: 1]
   08,019      0             0            *         12        12        12        12        0          //Divine Armor [Skill Luck Option: +4 Exc: 1]
   09,019      0             0            *         12        12        12        12        0          //Divine Pants [Skill Luck Option: +4 Exc: 1]
   10,019      0             0            *         12        12        12        12        0          //Divine Gloves [Skill Luck Option: +4 Exc: 1]
   11,019      0             0            *         12        12        12        12        0          //Divine Boots [Skill Luck Option: +4 Exc: 1]
   08,020      0             0            *         12        12        12        12        0          //Thunder Hawk Armor [Skill Luck Option: +4 Exc: 1]
   09,020      0             0            *         12        12        12        12        0          //Thunder Hawk Pants [Skill Luck Option: +4 Exc: 1]
   10,020      0             0            *         12        12        12        12        0          //Thunder Hawk Gloves [Skill Luck Option: +4 Exc: 1]
   11,020      0             0            *         12        12        12        12        0          //Thunder Hawk Boots [Skill Luck Option: +4 Exc: 1]
   06,013      0             0            *         12        12        12        12        0          //Dragon Shield [Skill Luck Option: +4 Exc: 1]
   06,016      0             0            *         12        12        12        12        0          //Elemental Shield [Skill Luck Option: +4 Exc: 1]
   06,015      0             0            *         12        12        12        12        0          //Grand Soul Shield [Skill Luck Option: +4 Exc: 1]
   13,008      0             0            *         *         *         *         12        0          //Ring of Ice [Exc: 1]
   13,009      0             0            *         *         *         *         12        0          //Ring of Poison [Exc: 1]
   13,012      0             0            *         *         *         *         12        0          //Pendant of Lighting [Exc: 1]
   13,013      0             0            *         *         *         *         12        0          //Pendant of Fire [Exc: 1]
   12,015      0             0            *         *         *         *         *         0          //Jewel of Chaos
   14,014      0             0            *         *         *         *         *         0          //Jewel of Soul
   14,013      0             0            *         *         *         *         *         0          //Jewel of Bless
   14,016      0             0            *         *         *         *         *         0          //Jewel of Life
   14,022      0             0            *         *         *         *         *         0          //Jewel of Creation
   14,019      0             0            31        *         *         *         *         0          //Devil's Invitation [Level: +2~4]
   13,018      0             0            35        *         *         *         *         0          //Invisibility Cloak [Level: +4~6]
end
